underlying,identifier,instrumentType,instrument,expiryDate,optionType,strikePrice,lastPrice,pChange,openPrice,highPrice,lowPrice,numberOfContractsTraded,totalTurnover,premiumTurnover,openInterest,underlyingValue
BANKNIFTY,OPTIDXBANKNIFTY07-10-2021PE37000.00,OPTIDX,Index Options,07-Oct-2021,Put,37000,315.75,34.333120612635604,343.25,587.2,281.65,1210479,111119.126105,1133741862610.5,63270,37137.3
BANKNIFTY,OPTIDXBANKNIFTY07-10-2021CE37000.00,OPTIDX,Index Options,07-Oct-2021,Call,37000,505.0,-34.96458467482292,415.0,620.0,415.0,594330,76985.4054625,558498115546.25,31781,37137.3
BANKNIFTY,OPTIDXBANKNIFTY07-10-2021CE37200.00,OPTIDX,Index Options,07-Oct-2021,Call,37200,395.55,-38.564883124951464,453.55,496.0,347.0,733360,76731.68013249998,691317098013.25,38114,37137.3
BANKNIFTY,OPTIDXBANKNIFTY07-10-2021PE37200.00,OPTIDX,Index Options,07-Oct-2021,Put,37200,406.8,32.59452411994785,446.45,688.4,358.95,550805,60669.64926,520216534926.0,25991,37137.3
BANKNIFTY,OPTIDXBANKNIFTY07-10-2021CE37500.00,OPTIDX,Index Options,07-Oct-2021,Call,37500,262.0,-44.47976266158084,359.0,386.0,222.3,818991,57582.50338,775385750338.0,59872,37137.3
BANKNIFTY,OPTIDXBANKNIFTY07-10-2021PE37100.00,OPTIDX,Index Options,07-Oct-2021,Put,37100,359.55,34.738617200674526,376.2,634.0,317.15,527540,53103.031695,495903080669.5,21302,37137.3
BANKNIFTY,OPTIDXBANKNIFTY07-10-2021CE37300.00,OPTIDX,Index Options,07-Oct-2021,Call,37300,348.4,-40.12716961677265,584.4,584.4,302.0,541680,50408.461275,511706328627.5,29988,37137.3
BANKNIFTY,OPTIDXBANKNIFTY07-10-2021CE37100.00,OPTIDX,Index Options,07-Oct-2021,Call,37100,448.6,-36.06498966721299,668.95,669.3,389.05,406784,47143.80242,382982270242.0,18347,37137.3
BANKNIFTY,OPTIDXBANKNIFTY07-10-2021PE36900.00,OPTIDX,Index Options,07-Oct-2021,Put,36900,277.65,34.585555016965564,300.0,561.45,248.5,428443,35285.5725,399742307250.0,19460,37137.3
BANKNIFTY,OPTIDXBANKNIFTY07-10-2021PE36800.00,OPTIDX,Index Options,07-Oct-2021,Put,36800,242.6,38.03698435277382,291.45,498.55,218.4,479545,34859.8386675,446043703866.75006,26584,37137.3
BANKNIFTY,OPTIDXBANKNIFTY07-10-2021PE36500.00,OPTIDX,Index Options,07-Oct-2021,Put,36500,159.3,34.2038753159225,172.5,354.8,147.2,635529,32033.4871425,584298861214.25,42258,37137.3
BANKNIFTY,OPTIDXBANKNIFTY07-10-2021CE37400.00,OPTIDX,Index Options,07-Oct-2021,Call,37400,302.4,-42.79769223493805,399.85,439.85,259.15,386985,31438.8980675,365859374806.75,20626,37137.3
BANKNIFTY,OPTIDXBANKNIFTY07-10-2021PE37300.00,OPTIDX,Index Options,07-Oct-2021,Put,37300,460.0,34.581626682270326,453.0,741.15,403.45,254135,31171.6203,240713499530.0,16227,37137.3
BANKNIFTY,OPTIDXBANKNIFTY07-10-2021PE37500.00,OPTIDX,Index Options,07-Oct-2021,Put,37500,572.75,33.151226316401264,580.0,864.15,505.05,201802,31107.637275,192822326227.5,24765,37137.3
BANKNIFTY,OPTIDXBANKNIFTY07-10-2021PE36700.00,OPTIDX,Index Options,07-Oct-2021,Put,36700,211.75,35.3035143769968,192.0,449.8,191.5,318005,20455.181835,294444510683.5,18161,37137.3
BANKNIFTY,OPTIDXBANKNIFTY07-10-2021CE38000.00,OPTIDX,Index Options,07-Oct-2021,Call,38000,117.55,-53.7932389937107,200.0,200.0,105.3,567087,18622.132275,541634163227.5,69312,37137.3
BANKNIFTY,OPTIDXBANKNIFTY07-10-2021PE37400.00,OPTIDX,Index Options,07-Oct-2021,Put,37400,511.6,32.48737537226468,455.0,815.05,453.0,117279,16273.749375,111788139937.5,8188,37137.3
BANKNIFTY,OPTIDXBANKNIFTY07-10-2021CE37600.00,OPTIDX,Index Options,07-Oct-2021,Call,37600,226.3,-46.6839439274355,320.0,320.0,191.25,264638,16145.5494,250987154940.00003,21547,37137.3
BANKNIFTY,OPTIDXBANKNIFTY07-10-2021CE37700.00,OPTIDX,Index Options,07-Oct-2021,Call,37700,193.15,-48.739384288747345,310.0,310.0,163.25,289715,15243.5048325,275142467983.25,29600,37137.3
BANKNIFTY,OPTIDXBANKNIFTY07-10-2021PE36600.00,OPTIDX,Index Options,07-Oct-2021,Put,36600,185.0,39.20240782543265,206.55,392.8,168.25,208739,11986.4282,192521482820.0,13496,37137.3
BANKNIFTY,OPTIDXBANKNIFTY07-10-2021PE36600.00,OPTIDX,Index Options,55-Oct-2021,Jigna,36600,185.0,39.20240782543265,206.55,392.8,168.25,208739,11986.4282,192521482820.0,13496,37137.3
BANKNIFTY,OPTIDXBANKNIFTY07-10-2021PE37000.00,OPTIDX,Index Options,07-Oct-2021,Put,37000,315.75,34.333120612635604,343.25,587.2,281.65,1210479,111119.126105,1133741862610.5,63270,37137.3
BANKNIFTY,OPTIDXBANKNIFTY07-10-2021CE37500.00,OPTIDX,Index Options,07-Oct-2021,Call,37500,262.0,-44.47976266158084,359.0,386.0,222.3,818991,57582.50338,775385750338.0,59872,37137.3
BANKNIFTY,OPTIDXBANKNIFTY07-10-2021CE37200.00,OPTIDX,Index Options,07-Oct-2021,Call,37200,395.55,-38.564883124951464,453.55,496.0,347.0,733360,76731.68013249998,691317098013.25,38114,37137.3
BANKNIFTY,OPTIDXBANKNIFTY07-10-2021PE36500.00,OPTIDX,Index Options,07-Oct-2021,Put,36500,159.3,34.2038753159225,172.5,354.8,147.2,635529,32033.4871425,584298861214.25,42258,37137.3
BANKNIFTY,OPTIDXBANKNIFTY07-10-2021CE37000.00,OPTIDX,Index Options,07-Oct-2021,Call,37000,505.0,-34.96458467482292,415.0,620.0,415.0,594330,76985.4054625,558498115546.25,31781,37137.3
BANKNIFTY,OPTIDXBANKNIFTY07-10-2021CE38000.00,OPTIDX,Index Options,07-Oct-2021,Call,38000,117.55,-53.7932389937107,200.0,200.0,105.3,567087,18622.132275,541634163227.5,69312,37137.3
BANKNIFTY,OPTIDXBANKNIFTY07-10-2021PE37200.00,OPTIDX,Index Options,07-Oct-2021,Put,37200,406.8,32.59452411994785,446.45,688.4,358.95,550805,60669.64926,520216534926.0,25991,37137.3
BANKNIFTY,OPTIDXBANKNIFTY07-10-2021CE37300.00,OPTIDX,Index Options,07-Oct-2021,Call,37300,348.4,-40.12716961677265,584.4,584.4,302.0,541680,50408.461275,511706328627.5,29988,37137.3
BANKNIFTY,OPTIDXBANKNIFTY07-10-2021PE37100.00,OPTIDX,Index Options,07-Oct-2021,Put,37100,359.55,34.738617200674526,376.2,634.0,317.15,527540,53103.031695,495903080669.5,21302,37137.3
BANKNIFTY,OPTIDXBANKNIFTY07-10-2021PE36800.00,OPTIDX,Index Options,07-Oct-2021,Put,36800,242.6,38.03698435277382,291.45,498.55,218.4,479545,34859.8386675,446043703866.75006,26584,37137.3
BANKNIFTY,OPTIDXBANKNIFTY07-10-2021PE36900.00,OPTIDX,Index Options,07-Oct-2021,Put,36900,277.65,34.585555016965564,300.0,561.45,248.5,428443,35285.5725,399742307250.0,19460,37137.3
BANKNIFTY,OPTIDXBANKNIFTY07-10-2021PE36000.00,OPTIDX,Index Options,07-Oct-2021,Put,36000,79.0,33.44594594594594,79.75,198.0,74.05,414586,11110.22779,374843222778.99994,41249,37137.3
BANKNIFTY,OPTIDXBANKNIFTY07-10-2021CE37100.00,OPTIDX,Index Options,07-Oct-2021,Call,37100,448.6,-36.06498966721299,668.95,669.3,389.05,406784,47143.80242,382982270242.0,18347,37137.3
BANKNIFTY,OPTIDXBANKNIFTY07-10-2021CE37400.00,OPTIDX,Index Options,07-Oct-2021,Call,37400,302.4,-42.79769223493805,399.85,439.85,259.15,386985,31438.8980675,365859374806.75,20626,37137.3
BANKNIFTY,OPTIDXBANKNIFTY07-10-2021PE36700.00,OPTIDX,Index Options,07-Oct-2021,Put,36700,211.75,35.3035143769968,192.0,449.8,191.5,318005,20455.181835,294444510683.5,18161,37137.3
BANKNIFTY,OPTIDXBANKNIFTY07-10-2021CE38500.00,OPTIDX,Index Options,07-Oct-2021,Call,38500,48.9,-60.88,55.55,112.0,47.65,314521,4450.479915,303761522991.5,44577,37137.3
BANKNIFTY,OPTIDXBANKNIFTY07-10-2021CE37700.00,OPTIDX,Index Options,07-Oct-2021,Call,37700,193.15,-48.739384288747345,310.0,310.0,163.25,289715,15243.5048325,275142467983.25,29600,37137.3
BANKNIFTY,OPTIDXBANKNIFTY07-10-2021CE39000.00,OPTIDX,Index Options,07-Oct-2021,Call,39000,21.85,-63.824503311258276,59.5,59.5,21.75,286431,1905.07083,280347982083.0,46871,37137.3
BANKNIFTY,OPTIDXBANKNIFTY07-10-2021CE37600.00,OPTIDX,Index Options,07-Oct-2021,Call,37600,226.3,-46.6839439274355,320.0,320.0,191.25,264638,16145.5494,250987154940.00003,21547,37137.3
BANKNIFTY,OPTIDXBANKNIFTY07-10-2021CE37800.00,OPTIDX,Index Options,07-Oct-2021,Call,37800,164.7,-50.11358473421173,242.7,242.7,142.0,256152,11583.96222,243667131222.0,26059,37137.3
